Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,1000_annotation_measurements,1001_annotation_measurements,4524_annotation_measurements,4525_annotation_measurements,4526_annotation_measurements,4527_annotation_measurements,4528_annotation_measurements,4530_annotation_measurements,4531_annotation_measurements,4532_annotation_measurements,4533_annotation_measurements,4634_annotation_measurements,4635_annotation_measurements,4636_annotation_measurements,4637_annotation_measurements,4657_annotation_measurements,4658_annotation_measurements,4659_annotation_measurements,4660_annotation_measurements,4689_annotation_measurements,4690_annotation_measurements,4691_annotation_measurements,4692_annotation_measurements,4702_annotation_measurements,4703_annotation_measurements,4704_annotation_measurements,4705_annotation_measurements,4707_annotation_measurements,4708_annotation_measurements,4709_annotation_measurements,4710_annotation_measurements,5366_annotation_measurements,5368_annotation_measurements,5369_annotation_measurements,5370_annotation_measurements,5373_annotation_measurements,5374_annotation_measurements,5375_annotation_measurements,5875_annotation_measurements,5876_annotation_measurements
VISp,Primary visual area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Primary visual area,,,5.74,3.69,71.71,540.23,16.99,514.22,82.59,50.62,718.67,107.18,32.02,798.38,50.68,74.62,850.83,442.4,87.49,108.06,493.57,373.55,28.57,23.7,55.76,100.52,181.39,104.15,42.09,525.63,41.72,148.0,42.38,627.12,35.98,262.93,55.15,67.55,2.45,190.99,37.42,29.05
VISpl,Posterolateral visual area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Posterolateral visual area,,,1.32,5.47,70.3,221.36,38.93,228.88,,24.89,10.58,0.0,8.59,576.22,32.18,226.3,876.59,0.0,,73.62,,70.79,12.58,7.35,4.34,2.24,75.53,55.6,1159.35,,51.17,75.34,117.63,,0.0,12.81,122.93,44.92,0.0,12.74,14.16,2.29
VISpm,posteromedial visual area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,posteromedial visual area,,,4.71,1.28,50.47,750.47,8.76,359.33,90.17,73.38,543.23,125.36,24.06,761.25,35.64,39.31,711.39,296.47,143.26,102.4,366.73,338.13,34.69,11.22,75.45,154.28,116.64,70.03,46.13,335.42,51.85,130.14,20.12,613.29,33.73,207.81,32.04,93.09,2.21,344.98,36.42,21.27
VISli,Laterointermediate area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Laterointermediate area,,,3.32,1.89,43.03,341.69,16.42,176.82,67.21,133.82,787.88,79.75,79.18,661.74,28.36,71.98,586.87,335.4,150.3,200.08,585.12,244.57,29.34,18.53,67.69,109.53,131.31,242.6,73.88,295.42,116.91,109.15,25.01,507.19,37.09,58.95,57.14,30.59,46.7,532.34,38.52,24.38
VISpor,Postrhinal area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Postrhinal area,,,0.0,2.61,44.99,277.18,26.29,122.77,593.97,7.84,748.38,0.0,49.18,493.01,53.88,47.08,541.49,428.0,104.43,8.38,659.23,0.0,0.0,42.78,14.15,312.55,57.0,345.59,176.26,174.59,6.37,112.99,56.3,347.11,45.95,34.1,84.34,68.94,38.18,491.45,54.47,0.0
ACAd,"Anterior cingulate area, dorsal part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Anterior cingulate area,"Anterior cingulate area, dorsal part",,,1.75,1.06,130.91,573.84,14.76,76.7,56.63,92.1,475.84,125.11,65.16,565.95,14.56,97.52,243.51,105.26,285.59,46.79,206.44,210.15,33.66,36.31,57.68,150.99,35.35,161.13,128.67,121.21,20.7,156.37,15.48,316.19,32.9,24.11,29.0,35.98,17.48,475.87,3.45,9.89
ACAv,"Anterior cingulate area, ventral part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Anterior cingulate area,"Anterior cingulate area, ventral part",,,6.49,3.53,153.94,639.28,16.19,217.3,106.2,122.1,290.1,123.26,95.65,522.15,35.3,58.85,503.59,160.0,264.64,135.86,463.89,286.11,26.23,48.84,70.88,468.69,84.71,184.97,154.57,365.27,33.43,285.64,30.57,510.73,39.38,28.5,39.42,128.34,24.94,408.39,12.03,16.1
PL,Prelimbic area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Prelimbic area,,,,8.0,4.36,193.05,437.76,75.85,182.18,153.61,228.24,313.19,354.27,122.75,453.95,123.76,110.96,394.17,184.44,496.94,90.09,290.18,120.0,36.23,77.66,89.22,301.57,75.71,434.68,207.04,416.64,42.75,209.15,35.43,370.16,93.11,34.64,119.7,78.4,63.12,596.36,12.58,18.72
ILA,Infralimbic area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Infralimbic area,,,,12.41,32.62,168.02,426.62,113.87,285.55,273.31,214.15,361.68,376.42,261.72,413.3,293.65,111.0,446.81,257.12,416.81,249.02,383.98,231.94,65.97,131.43,86.93,569.65,188.1,545.05,201.46,519.89,83.94,309.26,64.46,368.26,134.07,79.46,123.27,198.61,88.32,550.32,34.78,78.61
ORBl,"Orbital area, lateral part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Orbital area,"Orbital area, lateral part",,,2.38,0.58,47.34,527.69,2.93,127.3,22.59,66.7,664.0,690.68,42.83,542.19,0.0,96.28,144.79,28.4,216.74,16.21,95.68,282.29,32.36,40.59,79.47,90.32,27.57,252.35,81.5,405.3,13.28,159.76,5.46,600.38,61.03,6.83,19.25,29.54,39.2,656.06,4.56,6.56
ORBm,"Orbital area, medial part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Orbital area,"Orbital area, medial part",,,14.97,6.9,168.85,566.52,73.65,342.06,145.64,171.74,644.77,532.99,169.22,654.27,,93.89,610.66,194.66,490.72,130.95,515.04,243.69,71.01,84.07,118.26,329.0,80.37,480.24,120.69,641.98,32.39,343.08,24.34,496.51,99.07,50.89,73.38,45.73,35.65,727.35,14.8,25.45
ORBvl,"Orbital area, ventrolateral part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Orbital area,"Orbital area, ventrolateral part",,,13.24,2.5,76.55,896.18,34.46,340.7,134.86,135.6,933.88,865.57,130.94,794.71,,105.4,460.97,152.2,564.74,114.57,441.65,324.11,149.54,72.06,168.06,291.55,73.91,561.94,204.73,629.23,26.83,348.52,20.82,788.99,85.52,36.64,60.02,48.97,86.06,582.15,10.24,24.65
AId,"Agranular insular area, dorsal part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Agranular insular area,"Agranular insular area, dorsal part",,,3.41,2.69,215.44,370.83,17.67,52.23,63.63,97.33,266.43,337.6,142.2,300.64,25.94,57.19,160.13,28.44,135.66,36.23,112.42,185.53,14.55,72.57,138.59,193.52,28.0,226.9,55.0,183.93,28.46,132.69,21.82,184.44,177.0,8.31,28.87,41.72,16.02,628.44,7.28,10.6
AIp,"Agranular insular area, posterior part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Agranular insular area,"Agranular insular area, posterior part",,,7.9,5.97,229.31,304.54,57.69,154.53,129.31,92.72,267.69,221.73,88.21,249.6,51.92,81.54,272.56,97.36,102.9,68.07,145.75,136.05,36.39,32.24,83.92,245.31,70.03,342.8,156.45,120.23,72.15,118.45,87.84,214.27,194.95,45.12,94.25,74.05,7.29,702.73,28.96,24.06
AIv,"Agranular insular area, ventral part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Agranular insular area,"Agranular insular area, ventral part",,,13.8,3.73,75.48,323.64,21.03,169.9,114.39,103.91,443.86,452.92,80.25,463.05,30.76,62.1,280.16,63.33,237.22,105.28,238.94,232.16,47.91,101.32,100.82,240.08,36.35,340.08,161.05,267.22,43.77,211.14,26.47,306.11,69.48,15.7,43.51,63.21,14.28,597.79,18.53,25.03
RSPagl,"Retrosplenial area, lateral agranular part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Retrosplenial area,"Retrosplenial area, lateral agranular part",,,2.36,1.78,57.82,660.8,9.61,255.51,57.32,85.17,471.38,138.41,49.12,689.73,32.5,38.16,521.7,238.97,127.84,69.34,330.26,236.76,30.1,30.21,110.94,158.69,93.67,146.37,72.38,331.0,33.52,135.28,25.15,456.03,24.58,126.01,40.03,104.3,3.15,333.74,21.02,29.11
RSPd,"Retrosplenial area, dorsal part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Retrosplenial area,"Retrosplenial area, dorsal part",,,4.08,1.79,80.31,601.94,7.95,242.76,93.76,107.23,411.33,105.08,57.05,644.32,27.86,42.18,677.51,230.25,181.03,47.63,304.21,305.4,33.07,41.97,161.52,154.88,105.38,147.64,82.17,314.2,21.5,150.0,13.24,501.72,8.44,128.25,29.64,85.12,2.57,282.36,22.81,48.54
RSPv,"Retrosplenial area, ventral part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Retrosplenial area,"Retrosplenial area, ventral part",,,3.33,0.68,122.67,574.56,4.39,98.95,97.29,83.28,254.41,65.78,41.22,432.77,31.23,74.62,520.07,241.84,168.35,68.81,363.42,247.1,13.9,42.35,98.47,106.11,58.18,232.19,36.47,291.6,18.18,82.81,9.02,492.0,18.5,147.78,22.54,104.65,4.39,172.76,8.2,29.23
VISa,Anterior area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Posterior parietal association areas,Anterior area,,,3.98,0.52,54.27,713.08,11.39,81.11,42.38,62.77,668.94,152.96,46.95,511.92,21.52,27.48,199.93,60.13,108.35,13.37,185.94,195.6,29.17,31.69,71.17,116.28,28.58,193.35,45.82,194.69,16.87,151.62,14.74,357.16,26.33,76.11,16.9,64.08,1.15,398.37,7.06,5.81
VISrl,Rostrolateral visual area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Posterior parietal association areas,Rostrolateral visual area,,,1.99,0.48,42.54,514.37,12.24,139.58,53.27,39.16,892.29,117.69,21.0,524.36,10.58,22.04,296.15,109.23,103.64,45.83,181.99,308.84,17.7,52.76,81.56,79.96,24.28,184.26,24.91,257.92,11.22,87.23,8.56,436.84,45.96,69.5,18.53,38.83,1.83,320.86,6.22,27.99
TEa,Temporal association areas,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Temporal association areas,,,,5.3,10.02,80.84,434.38,38.36,96.35,148.7,130.78,490.85,336.67,55.04,346.26,45.72,108.1,359.55,169.92,132.57,113.02,316.31,108.04,56.02,57.94,68.54,227.56,94.15,284.0,102.03,196.61,84.01,178.06,62.94,256.62,100.14,42.91,52.42,38.33,28.36,687.66,49.08,17.56
PERI,Perirhinal area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Perirhinal area,,,,23.21,6.25,203.73,363.65,52.41,222.93,174.66,113.23,289.94,237.55,69.95,324.19,38.96,138.39,360.91,186.54,127.46,180.88,181.07,67.48,71.41,22.02,55.32,297.06,74.13,265.12,120.51,200.8,35.44,246.2,62.33,261.87,147.78,67.14,91.64,109.78,19.98,753.24,97.66,34.3
ECT,Ectorhinal area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Ectorhinal area,,,,4.43,8.4,180.32,430.27,44.13,160.83,200.01,154.29,357.31,331.17,93.41,332.58,84.09,118.62,379.22,213.51,154.8,196.28,283.08,109.47,70.01,58.07,91.91,331.93,154.06,316.07,136.49,252.35,70.82,237.0,81.46,312.25,178.09,70.49,105.51,116.5,14.74,801.93,40.52,34.57
MOB,Main olfactory bulb,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Main olfactory bulb,,,,,,974.08,,,,,1204.17,,,464.66,1154.05,,175.44,,,,365.31,,1093.4,,,,1860.11,267.55,1240.57,729.06,934.46,620.58,,347.59,1379.59,567.47,321.86,971.62,301.72,,251.02,177.64,208.69
AOBgl,"Accessory olfactory bulb, glomerular layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Accessory olfactory bulb,"Accessory olfactory bulb, glomerular layer",,,,,,,,,,,,,,,,847.65,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,337.15,,
AOBgr,"Accessory olfactory bulb, granular layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Accessory olfactory bulb,"Accessory olfactory bulb, granular layer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2151.85,,
AOBmi,"Accessory olfactory bulb, mitral layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Accessory olfactory bulb,"Accessory olfactory bulb, mitral layer",,,,,,,,,,,,,,,,1090.59,,,,,,,,,,,,,,,,,,,,,,,,150.98,,
AON,Anterior olfactory nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Anterior olfactory nucleus,,,,36.39,34.33,323.66,593.96,124.83,395.38,466.77,256.13,486.82,556.72,305.1,638.47,181.05,143.16,659.67,316.55,626.6,254.38,502.3,340.5,95.68,177.53,216.08,801.89,242.28,1171.84,322.76,506.13,107.4,378.84,97.71,714.0,269.72,182.78,153.09,163.58,89.05,482.18,55.2,106.36
TTd,"Taenia tecta, dorsal part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Taenia tecta,"Taenia tecta, dorsal part",,,28.81,17.85,387.32,488.0,137.22,304.41,318.46,254.04,333.6,409.47,358.57,423.15,76.36,143.47,653.68,319.51,636.05,242.39,409.08,268.41,86.28,144.57,186.95,461.44,283.69,727.72,240.74,474.79,61.51,305.42,59.23,443.85,182.1,176.89,123.18,228.45,69.58,454.72,26.95,74.06
TTv,"Taenia tecta, ventral part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Taenia tecta,"Taenia tecta, ventral part",,,24.08,9.13,210.2,478.32,44.87,198.61,,205.65,247.08,280.77,190.08,384.86,,135.24,436.96,102.69,306.31,133.1,260.03,335.16,70.64,70.69,147.29,393.84,166.86,550.96,144.4,326.77,116.72,220.99,89.24,249.53,83.94,64.22,68.32,51.48,21.82,362.79,33.87,40.62
