Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,1000_annotation_measurements,1001_annotation_measurements,4524_annotation_measurements,4525_annotation_measurements,4526_annotation_measurements,4527_annotation_measurements,4528_annotation_measurements,4530_annotation_measurements,4531_annotation_measurements,4532_annotation_measurements,4533_annotation_measurements,4634_annotation_measurements,4635_annotation_measurements,4636_annotation_measurements,4637_annotation_measurements,4657_annotation_measurements,4658_annotation_measurements,4659_annotation_measurements,4660_annotation_measurements,4689_annotation_measurements,4690_annotation_measurements,4691_annotation_measurements,4692_annotation_measurements,4702_annotation_measurements,4703_annotation_measurements,4704_annotation_measurements,4705_annotation_measurements,4707_annotation_measurements,4708_annotation_measurements,4709_annotation_measurements,4710_annotation_measurements,5366_annotation_measurements,5368_annotation_measurements,5369_annotation_measurements,5370_annotation_measurements,5373_annotation_measurements,5374_annotation_measurements,5375_annotation_measurements,5875_annotation_measurements,5876_annotation_measurements
GPi,"Globus pallidus, internal segment",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, dorsal region","Globus pallidus, internal segment",,,,6.38,0.0,3.43,54.33,0.61,6.25,6.44,25.52,138.4,47.51,9.67,57.97,0.57,61.25,30.23,41.36,52.8,4.08,35.0,39.85,1.02,3.98,11.72,44.71,2.68,23.47,14.23,20.34,2.41,29.37,0.53,31.3,0.47,3.53,11.57,9.16,0.0,184.61,3.52,2.96
SI,Substantia innominata,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, ventral region",Substantia innominata,,,,4.62,4.25,45.22,94.44,13.5,52.6,47.03,78.61,163.5,117.35,47.17,133.22,22.49,57.96,154.02,51.0,71.62,73.82,109.0,54.76,17.0,29.69,41.97,199.3,31.03,148.94,41.75,64.71,16.5,65.2,21.85,69.87,38.88,14.77,31.95,31.95,1.36,83.56,16.76,14.84
MA,Magnocellular nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, ventral region",Magnocellular nucleus,,,,6.53,4.85,42.41,100.95,8.03,41.58,68.02,45.3,278.77,179.5,17.11,342.87,27.08,31.72,141.2,48.92,84.77,68.83,117.68,49.69,12.35,11.28,15.81,100.29,25.83,213.94,22.14,114.22,15.53,133.69,18.83,195.99,63.58,28.91,65.35,11.34,0.0,95.49,13.28,21.06
MS,Medial septal nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, medial region",Medial septal complex,Medial septal nucleus,,,7.05,2.75,107.42,195.6,5.3,80.35,115.12,252.94,436.08,217.01,121.16,239.47,122.13,220.52,408.15,216.19,172.45,352.47,308.69,198.33,31.57,143.15,54.08,484.2,100.42,499.25,302.28,129.72,88.22,162.91,42.06,364.25,195.72,77.6,66.26,82.48,8.23,120.69,84.63,49.06
NDB,Diagonal band nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, medial region",Medial septal complex,Diagonal band nucleus,,,28.16,13.29,84.07,178.86,19.23,81.17,95.74,212.32,364.88,246.65,59.3,307.4,95.59,79.1,387.97,98.89,161.6,240.51,304.16,150.56,47.15,86.23,95.96,425.6,93.39,336.58,116.49,182.23,42.05,159.16,61.64,315.22,154.65,45.29,209.25,37.79,8.99,39.94,51.84,46.99
TRS,Triangular nucleus of septum,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, medial region",Triangular nucleus of septum,,,,25.63,9.66,68.41,124.18,43.62,71.09,58.96,62.58,65.59,86.61,40.74,45.89,32.96,113.43,175.31,95.81,109.97,97.39,58.63,36.64,20.24,24.29,80.41,28.68,30.54,185.52,34.38,95.4,9.65,71.57,74.79,176.29,101.35,29.33,38.39,47.0,1.68,91.94,42.45,42.94
BST,Bed nuclei of the stria terminalis,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, caudal region",Bed nuclei of the stria terminalis,,,,54.73,17.55,205.09,253.17,86.9,185.01,156.41,216.64,274.57,226.34,136.31,248.97,99.17,96.73,344.41,164.35,176.13,276.49,241.66,237.83,93.32,113.69,159.66,563.23,128.8,443.34,206.05,246.52,75.43,227.28,143.41,242.18,171.61,43.09,98.11,182.89,32.21,299.54,87.9,84.84
BAC,Bed nucleus of the anterior commissure,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, caudal region",Bed nucleus of the anterior commissure,,,,0.0,14.48,475.71,0.0,42.65,0.0,,194.4,483.51,,51.51,0.0,144.45,76.3,900.02,947.0,,76.68,,,403.7,0.0,0.0,326.39,64.43,0.0,43.38,14.68,33.89,23.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.67
VAL,Ventral anterior-lateral complex of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Ventral anterior-lateral complex of the thalamus,,,3.48,0.62,11.16,44.21,0.29,5.04,1.31,7.45,135.88,38.31,9.14,67.95,4.08,64.19,44.55,6.17,26.94,14.18,18.76,23.98,3.87,3.07,1.95,19.75,1.81,29.64,18.24,35.68,1.19,16.89,0.27,38.55,3.36,2.23,6.73,7.75,1.77,18.11,3.75,1.12
VM,Ventral medial nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Ventral medial nucleus of the thalamus,,,16.76,4.62,36.91,131.88,7.85,98.84,61.64,55.1,145.45,106.43,46.79,145.74,68.14,198.23,219.19,102.74,124.99,88.43,66.81,84.2,18.41,33.37,36.31,205.04,86.68,50.77,79.6,105.1,6.9,86.26,41.97,130.88,43.1,66.48,87.83,60.72,7.63,42.82,29.95,38.99
VPL,Ventral posterolateral nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Ventral posterior complex of the thalamus,Ventral posterolateral nucleus of the thalamus,,13.68,3.99,10.03,69.32,1.62,5.85,5.11,26.46,406.56,56.39,3.64,28.26,6.83,43.29,24.84,33.53,24.58,27.75,10.01,14.35,10.01,22.37,6.36,18.41,7.16,9.51,8.12,48.48,7.45,7.03,4.45,42.32,3.7,12.37,9.46,7.24,1.69,12.47,8.57,14.35
VPLpc,"Ventral posterolateral nucleus of the thalamus, parvicellular part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Ventral posterior complex of the thalamus,"Ventral posterolateral nucleus of the thalamus, parvicellular part",,74.44,0.0,33.67,29.0,37.12,75.15,0.0,103.08,190.26,57.28,65.29,99.27,12.08,144.26,47.6,149.31,66.49,41.58,1.67,4.55,23.05,10.09,8.68,36.75,33.26,4.61,0.0,41.59,6.6,11.03,13.54,48.75,52.12,0.0,0.0,0.0,7.6,0.0,13.53,21.12
VPM,Ventral posteromedial nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Ventral posterior complex of the thalamus,Ventral posteromedial nucleus of the thalamus,,4.5,2.48,9.76,279.57,0.37,2.97,2.45,5.38,865.13,300.04,26.9,48.43,2.46,22.71,22.98,8.81,10.95,3.59,13.51,62.95,25.34,25.32,37.77,7.43,1.37,23.87,0.72,166.79,8.72,120.83,1.27,108.65,2.15,7.29,2.58,2.16,2.09,11.76,3.81,6.54
VPMpc,"Ventral posteromedial nucleus of the thalamus, parvicellular part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Ventral posterior complex of the thalamus,"Ventral posteromedial nucleus of the thalamus, parvicellular part",,24.46,28.78,73.19,51.23,0.0,235.59,49.39,67.18,264.89,105.2,97.36,34.61,37.71,262.81,232.86,152.58,224.68,20.2,23.83,7.51,55.57,6.93,1.3,73.58,204.44,0.0,0.0,1.94,6.84,1.37,105.64,106.0,51.8,170.17,9.3,9.71,3.53,7.95,12.1,10.13
PoT,Posterior triangular thalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Posterior triangular thalamic nucleus,,,20.96,12.97,111.57,182.36,3.31,53.54,83.38,45.04,78.84,70.47,55.83,188.79,50.09,80.6,238.09,107.44,29.7,67.08,46.94,104.86,34.36,23.25,43.43,124.67,58.83,56.78,38.28,84.18,20.77,34.61,51.35,50.23,41.67,26.1,26.18,16.66,0.61,18.78,30.38,21.39
SPFm,"Subparafascicular nucleus, magnocellular part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Subparafascicular nucleus,"Subparafascicular nucleus, magnocellular part",,,426.97,303.91,546.03,581.82,56.74,588.18,717.76,422.4,524.89,641.89,405.65,,212.88,565.75,1089.27,547.75,707.33,395.2,337.6,441.17,438.11,259.73,94.65,1050.17,471.71,75.32,78.35,108.07,209.27,134.76,368.41,520.69,453.42,436.27,354.77,373.74,50.53,8.2,406.88,486.47
SPFp,"Subparafascicular nucleus, parvicellular part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Subparafascicular nucleus,"Subparafascicular nucleus, parvicellular part",,,41.21,48.29,159.79,263.8,9.12,182.8,146.02,132.1,210.55,222.32,59.24,273.54,72.94,121.28,314.96,276.42,154.8,98.36,229.27,251.21,61.76,84.41,102.4,379.53,117.47,118.32,73.63,126.87,88.34,72.11,81.85,158.6,74.71,31.81,60.23,49.2,1.52,16.11,79.89,42.28
SPA,Subparafascicular area,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Subparafascicular area,,,,61.14,45.71,208.19,397.55,0.0,174.92,305.09,310.48,380.42,296.49,143.75,1450.12,141.95,160.0,843.56,225.82,274.06,322.29,313.95,361.52,99.52,60.8,367.47,796.46,357.93,331.71,150.82,521.63,83.36,263.14,185.69,184.57,78.68,305.12,57.45,157.53,29.13,39.2,60.77,161.69
PP,Peripeduncular nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Peripeduncular nucleus,,,,34.35,86.96,62.06,100.55,13.41,118.32,143.99,53.83,177.46,24.32,38.75,50.35,32.42,234.56,488.4,120.26,174.1,280.76,288.35,25.48,69.4,60.26,109.49,418.97,149.05,233.18,108.47,292.69,59.46,218.28,95.99,39.95,33.96,0.0,98.04,46.81,10.22,265.14,48.48,18.48
MGd,"Medial geniculate complex, dorsal part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Medial geniculate complex,"Medial geniculate complex, dorsal part",,17.33,8.78,62.26,62.35,3.79,7.98,5.84,8.63,212.36,67.74,11.31,56.16,14.12,74.08,92.27,31.21,3.99,107.21,18.41,38.49,24.74,38.07,23.83,44.65,42.73,50.19,14.6,33.33,25.72,17.77,74.86,22.94,9.57,7.67,13.53,0.0,6.95,112.19,8.94,6.36
MGv,"Medial geniculate complex, ventral part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Medial geniculate complex,"Medial geniculate complex, ventral part",,12.49,21.53,24.02,54.38,5.1,17.37,23.18,76.73,134.48,198.37,24.07,26.65,42.91,39.99,142.89,80.36,11.19,141.16,37.82,26.78,28.62,67.78,42.95,107.03,54.79,51.43,36.87,93.21,32.57,52.99,32.51,55.35,19.38,8.25,37.17,3.08,7.55,118.78,6.75,23.95
MGm,"Medial geniculate complex, medial part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Medial geniculate complex,"Medial geniculate complex, medial part",,14.03,16.47,56.78,103.97,7.48,42.81,37.26,43.16,67.11,41.28,49.2,119.86,60.16,60.49,177.04,109.81,14.26,111.27,42.3,49.84,46.81,19.12,28.16,147.67,40.13,70.7,35.44,57.93,32.48,34.37,43.49,45.09,31.96,24.19,24.2,0.0,2.78,96.14,11.98,22.84
LGd-sh,"Dorsal part of the lateral geniculate complex, shell",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Dorsal part of the lateral geniculate complex,"Dorsal part of the lateral geniculate complex, shell",,9.75,2.68,7.7,42.39,1.53,64.69,12.84,29.91,278.64,10.27,10.88,35.1,20.79,6.67,114.99,39.24,13.76,43.76,86.89,65.56,5.32,19.03,40.78,126.36,12.04,38.81,32.75,160.68,25.98,43.79,7.65,19.01,21.54,23.33,10.07,24.98,3.09,178.59,40.63,32.19
LGd-co,"Dorsal part of the lateral geniculate complex, core",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Dorsal part of the lateral geniculate complex,"Dorsal part of the lateral geniculate complex, core",,5.08,10.52,23.33,60.92,6.77,58.53,44.58,66.25,193.67,9.21,20.67,67.31,56.91,7.25,123.73,105.87,34.05,32.47,84.85,115.2,19.11,63.97,11.81,153.02,44.53,37.23,59.6,215.66,31.72,84.92,23.5,111.61,18.84,84.35,26.66,37.99,7.52,131.02,24.98,43.46
LGd-ip,"Dorsal part of the lateral geniculate complex, ipsilateral zone",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Dorsal part of the lateral geniculate complex,"Dorsal part of the lateral geniculate complex, ipsilateral zone",,7.04,0.0,0.0,14.02,0.0,43.65,1.75,7.0,269.32,2.93,2.49,59.53,8.75,0.0,167.02,34.58,2.57,0.0,15.59,46.95,4.62,44.55,10.33,17.75,2.44,9.67,4.72,224.66,8.57,9.63,2.25,86.23,0.0,0.0,2.45,6.67,2.65,144.83,16.91,12.4
LP,Lateral posterior nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Lateral posterior nucleus of the thalamus,,,16.32,10.8,22.2,54.57,12.86,58.28,21.82,17.55,176.51,46.73,24.68,56.98,15.91,18.29,139.27,66.07,41.39,28.6,28.82,43.14,25.18,26.44,7.53,48.71,24.77,14.61,2.27,88.64,12.84,6.91,15.65,71.09,9.94,27.22,7.53,8.71,19.94,41.83,6.24,17.32
PO,Posterior complex of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Posterior complex of the thalamus,,,11.11,0.63,2.65,20.89,0.78,6.39,0.75,2.96,252.84,38.5,6.11,7.01,13.05,9.84,8.87,3.78,2.36,2.02,22.74,6.28,2.95,39.1,1.54,3.56,0.18,0.0,0.22,44.5,2.41,10.2,0.0,33.7,0.47,0.23,1.63,3.05,1.79,0.16,6.37,7.99
POL,Posterior limiting nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Posterior limiting nucleus of the thalamus,,,46.84,35.47,114.33,208.75,24.72,89.54,67.15,88.49,139.7,134.85,65.03,244.63,96.09,45.43,547.21,135.86,101.01,53.2,88.73,167.06,61.32,36.09,58.43,192.51,89.79,66.82,58.85,139.5,66.43,77.73,40.04,165.61,80.39,72.21,71.35,52.29,0.0,27.37,46.2,35.21
SGN,Suprageniculate nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Suprageniculate nucleus,,,8.21,19.46,74.95,144.32,4.81,17.34,69.68,78.1,138.01,69.43,88.88,114.49,64.13,49.11,184.95,81.12,22.36,42.23,61.45,77.29,48.03,22.93,58.2,152.6,56.97,57.62,14.39,91.48,21.0,37.65,50.31,48.61,35.57,19.24,24.23,1.12,0.0,39.34,9.33,24.83
Eth,Ethmoid nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Ethmoid nucleus of the thalamus,,,1.95,4.34,24.72,54.32,0.0,54.61,16.87,4.63,167.23,103.51,30.43,25.38,18.81,12.35,59.47,83.99,30.21,23.55,17.27,43.03,24.01,4.5,3.69,36.43,25.79,9.03,0.0,41.09,11.82,4.73,5.11,11.75,19.82,3.68,14.67,3.7,1.06,1.2,3.91,1.5
AV,Anteroventral nucleus of thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Anteroventral nucleus of thalamus,,,6.62,2.9,61.58,273.0,18.82,61.87,23.61,30.13,231.78,125.75,24.83,232.29,38.06,79.31,180.0,170.41,183.97,45.97,144.93,161.86,19.78,40.81,23.39,52.7,47.51,112.64,72.4,172.32,2.9,48.32,7.63,266.22,34.77,19.83,32.38,42.91,9.63,113.45,1.79,12.64
AMd,"Anteromedial nucleus, dorsal part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Anteromedial nucleus,"Anteromedial nucleus, dorsal part",,17.41,13.91,143.95,291.43,23.11,43.72,75.24,83.72,105.28,140.3,70.36,311.66,64.03,75.25,516.28,242.68,222.41,128.55,223.87,132.3,29.51,34.12,55.26,469.38,65.67,366.27,199.33,395.91,16.47,144.86,34.31,263.05,125.5,111.52,41.69,69.09,2.6,109.46,41.19,30.88
AMv,"Anteromedial nucleus, ventral part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Anteromedial nucleus,"Anteromedial nucleus, ventral part",,40.75,28.08,213.16,403.78,14.15,103.76,107.21,141.06,166.06,175.04,76.65,323.59,69.37,172.68,521.11,252.13,284.35,265.42,228.48,255.24,56.27,35.55,160.82,556.44,49.55,473.4,285.79,459.76,58.66,188.9,36.92,321.1,118.85,111.24,46.96,102.92,3.79,49.47,60.33,71.37
AD,Anterodorsal nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Anterodorsal nucleus,,,13.42,2.56,36.57,77.77,20.32,43.83,17.56,17.68,349.75,67.93,38.93,39.04,8.93,264.74,224.46,100.22,38.67,55.37,73.84,116.22,11.2,28.14,24.25,79.13,19.48,243.65,13.53,117.33,7.95,17.99,6.66,83.44,14.39,5.1,10.0,51.11,13.17,113.7,10.02,31.18
IAM,Interanteromedial nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Interanteromedial nucleus of the thalamus,,,49.35,28.13,295.13,654.64,41.17,251.31,264.27,223.42,474.58,556.42,192.94,542.35,87.21,150.15,1205.96,508.96,464.46,56.52,368.01,509.49,17.63,184.93,377.95,1023.63,196.46,582.49,401.25,583.72,4.49,387.26,58.89,573.5,87.7,160.82,138.77,145.0,0.0,75.89,25.69,32.25
IAD,Interanterodorsal nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Interanterodorsal nucleus of the thalamus,,,21.91,40.02,318.91,445.38,19.44,108.59,57.76,248.46,220.96,427.16,67.23,27.06,30.73,161.9,879.0,385.94,322.53,170.43,218.79,279.26,46.07,110.14,98.51,894.74,90.84,359.08,430.07,376.24,35.67,272.2,11.91,353.1,119.83,68.12,21.51,146.87,25.15,185.09,96.76,42.28
LD,Lateral dorsal nucleus of thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Lateral dorsal nucleus of thalamus,,,12.3,16.74,5.49,27.63,1.66,12.5,9.7,17.43,25.48,17.62,3.29,19.93,14.02,21.78,61.39,21.46,30.64,23.15,20.89,15.92,5.48,28.55,4.15,38.76,12.77,88.45,23.98,28.47,13.53,9.15,10.56,27.92,8.01,11.18,9.64,14.7,15.13,75.16,28.69,22.29
IMD,Intermediodorsal nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,Intermediodorsal nucleus of the thalamus,,,43.95,37.55,329.17,652.43,60.77,365.85,235.33,334.31,776.32,606.25,91.99,441.1,89.41,189.51,722.64,301.48,395.11,130.31,210.57,428.34,50.65,89.78,218.52,492.35,109.46,362.88,213.27,532.05,103.54,330.59,101.01,236.49,108.0,121.69,79.82,258.54,14.56,43.92,163.05,75.41
MD,Mediodorsal nucleus of thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,Mediodorsal nucleus of thalamus,,,25.79,16.35,102.72,194.47,16.48,68.9,77.15,77.23,283.78,184.4,47.59,129.12,31.45,83.55,267.07,79.52,159.17,144.39,118.97,115.65,21.75,54.29,45.64,247.15,39.48,221.63,150.47,173.8,47.35,111.86,22.73,128.64,58.27,95.86,23.23,107.67,13.16,147.85,70.09,43.05
SMT,Submedial nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,Submedial nucleus of the thalamus,,,3.2,1.14,16.15,34.09,3.0,1.59,0.89,19.78,313.1,54.72,3.02,49.68,11.37,222.22,42.09,27.98,16.6,0.0,31.9,43.15,2.42,3.7,1.99,15.03,16.86,14.08,58.57,37.46,1.91,26.53,0.72,21.9,7.8,6.18,18.82,10.4,1.57,15.69,3.53,2.88
PR,Perireunensis nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,Perireunensis nucleus,,,105.57,34.21,287.4,444.42,83.79,204.66,403.86,247.56,378.04,191.57,218.5,670.98,418.89,479.31,448.91,326.41,473.58,496.86,386.87,263.32,77.21,99.87,107.03,817.83,314.46,429.34,454.05,427.23,30.35,356.28,323.31,264.35,217.9,115.36,316.84,306.19,139.48,193.44,196.55,118.36
PVT,Paraventricular nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,Paraventricular nucleus of the thalamus,,,225.23,183.27,460.18,828.32,306.37,571.27,627.41,713.14,564.37,588.18,361.95,605.05,441.95,365.98,1371.2,585.85,675.58,893.62,514.84,595.16,312.51,386.29,424.89,1270.2,704.1,1230.86,652.12,806.42,388.19,609.88,381.02,522.11,406.64,299.54,415.74,427.31,223.39,153.73,405.15,344.3
PT,Parataenial nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,Parataenial nucleus,,,101.33,88.37,303.63,406.55,129.78,194.3,275.71,427.06,389.18,358.88,225.72,420.0,224.05,175.61,747.48,421.53,498.18,388.41,464.57,326.72,118.58,79.13,167.4,888.06,238.31,503.37,314.56,457.07,156.0,266.41,121.41,284.05,149.12,98.91,87.03,300.25,97.17,502.1,255.49,156.32
RE,Nucleus of reuniens,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,Nucleus of reuniens,,,31.79,46.76,223.48,238.98,51.83,99.6,149.18,186.97,211.69,214.35,177.58,373.57,149.17,261.99,424.39,245.6,304.21,409.17,310.67,167.61,34.9,49.2,103.6,553.77,128.99,294.91,244.1,252.7,22.71,225.35,100.94,241.09,107.01,103.83,105.91,182.72,8.43,162.55,60.96,75.51
Xi,Xiphoid thalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,Xiphoid thalamic nucleus,,,31.52,59.76,344.28,292.91,95.81,208.4,251.28,271.9,268.43,317.5,209.66,471.03,114.17,272.96,648.79,534.09,329.19,412.48,550.18,331.0,7.09,53.79,176.83,542.13,295.13,376.02,315.16,531.26,83.12,489.77,118.75,329.89,61.6,89.5,174.9,277.22,26.69,77.15,56.6,89.64
RH,Rhomboid nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,Rhomboid nucleus,,,14.22,11.98,225.45,399.24,39.99,127.22,119.99,184.14,678.2,404.03,102.28,333.37,71.62,110.28,668.3,390.54,173.24,60.15,231.34,283.48,21.05,38.81,153.35,357.46,84.47,175.0,151.28,381.73,6.26,144.47,21.08,283.4,31.05,48.58,22.55,180.25,15.4,23.47,41.5,24.36
CM,Central medial nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,Central medial nucleus of the thalamus,,,20.11,15.98,286.38,522.23,29.07,226.92,124.61,197.91,819.74,407.84,106.36,368.59,56.19,170.43,654.55,307.99,448.61,182.02,366.22,439.91,57.14,126.78,202.15,592.31,79.1,349.81,309.95,462.84,30.34,266.16,27.06,363.1,44.17,122.44,34.16,201.49,7.06,23.83,133.29,43.82
PCN,Paracentral nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,Paracentral nucleus,,,3.49,0.0,93.21,179.43,3.06,14.0,18.59,58.08,690.99,122.51,29.31,111.15,11.94,46.85,202.58,32.89,46.82,2.72,45.39,87.24,3.31,24.9,20.78,77.12,0.93,60.53,16.97,134.6,15.64,86.19,0.0,108.76,11.04,5.32,7.16,32.55,2.21,27.73,16.29,2.6
CL,Central lateral nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,Central lateral nucleus of the thalamus,,,25.03,12.96,97.96,316.96,12.82,139.86,61.09,32.07,295.74,218.29,46.72,267.72,20.05,46.35,224.02,101.46,141.69,32.34,95.96,111.22,43.93,22.78,30.04,159.3,49.64,119.64,118.24,143.11,24.15,116.01,8.06,132.83,43.64,37.38,15.84,33.85,8.76,45.18,17.76,17.9
PF,Parafascicular nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,Parafascicular nucleus,,,23.15,22.73,47.19,47.94,11.3,137.03,65.8,28.69,194.68,142.75,28.92,174.86,36.12,80.82,257.12,104.67,110.6,70.41,88.0,67.82,40.31,28.78,48.38,104.34,40.78,70.18,32.38,83.93,10.24,69.36,15.74,40.88,43.31,41.72,31.46,36.47,8.87,104.14,9.15,13.63
PIL,Posterior intralaminar thalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,Posterior intralaminar thalamic nucleus,,,59.33,108.37,114.68,240.65,20.27,118.45,180.26,67.39,218.8,148.07,62.09,158.89,95.83,175.9,448.0,222.1,136.45,202.35,213.28,99.63,95.62,79.68,134.99,305.01,111.06,104.72,67.21,146.97,71.56,116.19,133.16,63.24,43.56,31.9,89.3,40.62,2.74,196.56,104.76,28.59
