Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,mouse_id,density
HATA,Hippocampo-amygdalar transition area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Hippocampo-amygdalar transition area,,,1000,11.27
APr,Area prostriata,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Area prostriata,,,1000,0.0
CLA,Claustrum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Claustrum,,,,,1000,15.94
EPd,"Endopiriform nucleus, dorsal part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Endopiriform nucleus,"Endopiriform nucleus, dorsal part",,,,1000,28.7
EPv,"Endopiriform nucleus, ventral part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Endopiriform nucleus,"Endopiriform nucleus, ventral part",,,,1000,17.36
LA,Lateral amygdalar nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Lateral amygdalar nucleus,,,,,1000,14.34
BLAa,"Basolateral amygdalar nucleus, anterior part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Basolateral amygdalar nucleus,"Basolateral amygdalar nucleus, anterior part",,,,1000,14.15
BLAp,"Basolateral amygdalar nucleus, posterior part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Basolateral amygdalar nucleus,"Basolateral amygdalar nucleus, posterior part",,,,1000,8.51
BLAv,"Basolateral amygdalar nucleus, ventral part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Basolateral amygdalar nucleus,"Basolateral amygdalar nucleus, ventral part",,,,1000,6.6
BMAa,"Basomedial amygdalar nucleus, anterior part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Basomedial amygdalar nucleus,"Basomedial amygdalar nucleus, anterior part",,,,1000,15.63
BMAp,"Basomedial amygdalar nucleus, posterior part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Basomedial amygdalar nucleus,"Basomedial amygdalar nucleus, posterior part",,,,1000,14.58
PA,Posterior amygdalar nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Posterior amygdalar nucleus,,,,,1000,13.17
CP,Caudoputamen,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum dorsal region,Caudoputamen,,,,1000,2.75
ACB,Nucleus accumbens,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum ventral region,Nucleus accumbens,,,,1000,7.72
FS,Fundus of striatum,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum ventral region,Fundus of striatum,,,,1000,7.04
OT,Olfactory tubercle,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum ventral region,Olfactory tubercle,,,,1000,8.99
LSc,"Lateral septal nucleus, caudal (caudodorsal) part",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Lateral septal complex,Lateral septal nucleus,"Lateral septal nucleus, caudal (caudodorsal) part",,,1000,23.83
LSr,"Lateral septal nucleus, rostral (rostroventral) part",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Lateral septal complex,Lateral septal nucleus,"Lateral septal nucleus, rostral (rostroventral) part",,,1000,41.7
LSv,"Lateral septal nucleus, ventral part",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Lateral septal complex,Lateral septal nucleus,"Lateral septal nucleus, ventral part",,,1000,118.57
SF,Septofimbrial nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Lateral septal complex,Septofimbrial nucleus,,,,1000,11.65
SH,Septohippocampal nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Lateral septal complex,Septohippocampal nucleus,,,,1000,54.09
